Row,Column,Phi,Cluster
 pepT, agaR2,,1
 ClpP, agaR2,,1
 SspB, agaR2,,1
 DnaK, agaR2,,1
 CodY, agaR2,,1
 PepF, agaR2,,1
 Eno, agaR2,,1
 HAM1, agaR2,,1
 Rex, agaR2,,1
 HrcA, agaR2,,1
 GrpE, agaR2,,1
 DnaJ, agaR2,,1
 GntR, agaR2,,1
 FlpS, agaR2,,1
 pgdA, agaR2,,1
 VraSR, agaR2,,1
 MsmK, agaR2,,1
 OTC, agaR2,,1
 argR, agaR2,,1
 PGK, agaR2,,1
 BgaC, agaR2,,1
 DivIVA, agaR2,,1
 FBPS, agaR2,,1
 GroEL, agaR2,,1
 EF-Tu, agaR2,,1
 ABC_1, agaR2,,1
 PDH, agaR2,,1
 IMPDH_1, agaR2,,1
 FBA, agaR2,,1
 LDH, Cps2B,,1
 Cps2E, Cps2B,,1
 Cps2F, Cps2B,,1
 Cps9E, Cps2B,,1
 manN, Cps2B,,1
 ArcD, Cps2B,,1
 SsPep, Cps2B,,1
 Fhb_1, Cps2B,,1
 agaR2, Cps2B,,1
 Cps2B, Cps2B,,1
 cps2G, Cps2B,,1
 Cps2J, Cps2B,,1
 cps2L, Cps2B,,1
 NeuB, Cps2B,,1
 MRP, Cps2B,,1
 SP1, Cps2B,,1
 ciaH, Cps2B,,1
 prsA, Cps2B,,1
 Ssa, Cps2B,,1
 abpb, Cps2B,,1
 sly, Cps2B,,1
 HtpsC, Cps2B,,1
 lhk, Cps2B,,1
 lhr, Cps2B,,1
 1910HR, Cps2B,,1
 1910HK, Cps2B,,1
 ssnA, Cps2B,,1
 RggTR, Cps2B,,1
 SntA, Cps2B,,1
 Sbp2, Cps2B,,1
 TraG, Cps2B,,1
