antecedent,consequent,support,confidence,Cluster
 GdpP, DnaJ,1.0,1.0,1
 DnaJ, MsmK,1.0,1.0,1
 MsmK, DnaJ,1.0,1.0,1
 DnaJ, ciaR,1.0,1.0,1
 ciaR, DnaJ,1.0,1.0,1
 DnaJ, OppA,1.0,1.0,1
 OppA, DnaJ,1.0,1.0,1
 lytR, prsA,1.0,1.0,1
 prsA, lytR,1.0,1.0,1
 lytR, FBPS,1.0,1.0,1
 FBPS, lytR,1.0,1.0,1
 lytR, CodY,1.0,1.0,1
 CodY, lytR,1.0,1.0,1
 lytR, HtpsC,1.0,1.0,1
 HtpsC, lytR,1.0,1.0,1
 lytR, DivIVA,1.0,1.0,1
 DivIVA, lytR,1.0,1.0,1
 lytR, GroEL,1.0,1.0,1
 GroEL, lytR,1.0,1.0,1
 lytR, GAPDH,1.0,1.0,1
 GAPDH, lytR,1.0,1.0,1
 lytR, srtA,1.0,1.0,1
 srtA, lytR,1.0,1.0,1
 lytR, HAM1,1.0,1.0,1
 HAM1, lytR,1.0,1.0,1
 lytR, HP1538,1.0,1.0,1
 HP1538, lytR,1.0,1.0,1
 lytR, EF-Tu,1.0,1.0,1
 EF-Tu, lytR,1.0,1.0,1
 lytR, ldeS,1.0,1.0,1
 ldeS, lytR,1.0,1.0,1
 lytR, manN,1.0,1.0,1
 manN, lytR,1.0,1.0,1
 lytR, lhk,1.0,1.0,1
 lhk, lytR,1.0,1.0,1
 lytR, HrcA,1.0,1.0,1
 HrcA, lytR,1.0,1.0,1
 lytR, LuxS,1.0,1.0,1
 LuxS, lytR,1.0,1.0,1
 lytR, TraG,0.82,0.82,1
 TraG, lytR,0.82,1.0,1
 lytR, Stp,1.0,1.0,1
 Stp, lytR,1.0,1.0,1
 lytR, RggTR,1.0,1.0,1
 RggTR, lytR,1.0,1.0,1
 lytR, SspB,1.0,1.0,1
 SspB, lytR,1.0,1.0,1
 lytR, dltA,1.0,1.0,1
 dltA, lytR,1.0,1.0,1
 lytR, RelA,1.0,1.0,1
 RelA, lytR,1.0,1.0,1
 lytR, CovR,1.0,1.0,1
 CovR, lytR,1.0,1.0,1
 lytR, lhr,1.0,1.0,1
 lhr, lytR,1.0,1.0,1
 lytR, abpb,1.0,1.0,1
 abpb, lytR,1.0,1.0,1
 lytR, HtpsA,1.0,1.0,1
 HtpsA, lytR,1.0,1.0,1
 lytR, PepF,1.0,1.0,1
 PepF, lytR,1.0,1.0,1
 lytR, OTC,1.0,1.0,1
 OTC, lytR,1.0,1.0,1
 lytR, ciaH,1.0,1.0,1
 ciaH, lytR,1.0,1.0,1
 lytR, SspA,1.0,1.0,1
 SspA, lytR,1.0,1.0,1
 lytR, SsPep,1.0,1.0,1
 SsPep, lytR,1.0,1.0,1
 lytR, ClpX,1.0,1.0,1
 ClpX, lytR,1.0,1.0,1
 lytR, GidA,1.0,1.0,1
 GidA, lytR,1.0,1.0,1
 lytR, adhE,1.0,1.0,1
 adhE, lytR,1.0,1.0,1
 lytR, GntR,1.0,1.0,1
 GntR, lytR,1.0,1.0,1
 lytR, Cps2B,1.0,1.0,1
 Cps2B, lytR,1.0,1.0,1
 lytR, RelQ,1.0,1.0,1
 RelQ, lytR,1.0,1.0,1
 lytR, BgaC,1.0,1.0,1
 BgaC, lytR,1.0,1.0,1
 Hhly3, lytR,0.45,1.0,1
 lytR, yzpA,1.0,1.0,1
 yzpA, lytR,1.0,1.0,1
 lytR, agaR2,1.0,1.0,1
 agaR2, lytR,1.0,1.0,1
 lytR, HP1717,1.0,1.0,1
 HP1717, lytR,1.0,1.0,1
 lytR, PDH,1.0,1.0,1
 PDH, lytR,1.0,1.0,1
 lytR, Rex,1.0,1.0,1
 Rex, lytR,1.0,1.0,1
 lytR, SntA,1.0,1.0,1
 SntA, lytR,1.0,1.0,1
 lytR, ABC_1,1.0,1.0,1
 ABC_1, lytR,1.0,1.0,1
 lytR, GlnA,1.0,1.0,1
 GlnA, lytR,1.0,1.0,1
 lytR, LDH,1.0,1.0,1
 LDH, lytR,1.0,1.0,1
 lytR, ClpP,1.0,1.0,1
 ClpP, lytR,1.0,1.0,1
 lytR, ssnA,1.0,1.0,1
 ssnA, lytR,1.0,1.0,1
 lytR, VraSR,1.0,1.0,1
 VraSR, lytR,1.0,1.0,1
 lytR, FlpS,1.0,1.0,1
 FlpS, lytR,1.0,1.0,1
 lytR, Ssa,1.0,1.0,1
 Ssa, lytR,1.0,1.0,1
 lytR, ArcD,1.0,1.0,1
 ArcD, lytR,1.0,1.0,1
 lytR, Eno,1.0,1.0,1
 Eno, lytR,1.0,1.0,1
 lytR, IMPDH_1,1.0,1.0,1
 IMPDH_1, lytR,1.0,1.0,1
 lytR, Cps9E,1.0,1.0,1
 Cps9E, lytR,1.0,1.0,1
 lytR, Zmp,1.0,1.0,1
 Zmp, lytR,1.0,1.0,1
 lytR, mnmE,1.0,1.0,1
 mnmE, lytR,1.0,1.0,1
 lytR, IMPDH_2,1.0,1.0,1
 IMPDH_2, lytR,1.0,1.0,1
 lytR, FBA,1.0,1.0,1
 FBA, lytR,1.0,1.0,1
 lytR, pgdA,1.0,1.0,1
 pgdA, lytR,1.0,1.0,1
 lytR, Stk,1.0,1.0,1
 Stk, lytR,1.0,1.0,1
 lytR, KAR,1.0,1.0,1
 KAR, lytR,1.0,1.0,1
 lytR, PGK,1.0,1.0,1
 PGK, lytR,1.0,1.0,1
 lytR, SP1,0.73,0.73,1
 SP1, lytR,0.73,1.0,1
 lytR, PK,1.0,1.0,1
 PK, lytR,1.0,1.0,1
 lytR, DnaK,1.0,1.0,1
 DnaK, lytR,1.0,1.0,1
 lytR, HP1083,1.0,1.0,1
 HP1083, lytR,1.0,1.0,1
 lytR, argR,1.0,1.0,1
 argR, lytR,1.0,1.0,1
 lytR, MRP,1.0,1.0,1
 MRP, lytR,1.0,1.0,1
 lytR, pepT,1.0,1.0,1
 pepT, lytR,1.0,1.0,1
 lytR, GdpP,1.0,1.0,1
 GdpP, lytR,1.0,1.0,1
 lytR, MsmK,1.0,1.0,1
 MsmK, lytR,1.0,1.0,1
 lytR, ciaR,1.0,1.0,1
 ciaR, lytR,1.0,1.0,1
 lytR, OppA,1.0,1.0,1
 OppA, lytR,1.0,1.0,1
 prsA, FBPS,1.0,1.0,1
 FBPS, prsA,1.0,1.0,1
 prsA, CodY,1.0,1.0,1
 CodY, prsA,1.0,1.0,1
 prsA, HtpsC,1.0,1.0,1
 HtpsC, prsA,1.0,1.0,1
 prsA, DivIVA,1.0,1.0,1
 DivIVA, prsA,1.0,1.0,1
 prsA, GroEL,1.0,1.0,1
 GroEL, prsA,1.0,1.0,1
 prsA, GAPDH,1.0,1.0,1
 GAPDH, prsA,1.0,1.0,1
 prsA, srtA,1.0,1.0,1
 srtA, prsA,1.0,1.0,1
 prsA, HAM1,1.0,1.0,1
 HAM1, prsA,1.0,1.0,1
 prsA, HP1538,1.0,1.0,1
 HP1538, prsA,1.0,1.0,1
 prsA, EF-Tu,1.0,1.0,1
 EF-Tu, prsA,1.0,1.0,1
 prsA, ldeS,1.0,1.0,1
 ldeS, prsA,1.0,1.0,1
 prsA, manN,1.0,1.0,1
 manN, prsA,1.0,1.0,1
 prsA, lhk,1.0,1.0,1
 lhk, prsA,1.0,1.0,1
 prsA, HrcA,1.0,1.0,1
 HrcA, prsA,1.0,1.0,1
 prsA, LuxS,1.0,1.0,1
 LuxS, prsA,1.0,1.0,1
 prsA, TraG,0.82,0.82,1
 TraG, prsA,0.82,1.0,1
 prsA, Stp,1.0,1.0,1
 Stp, prsA,1.0,1.0,1
 prsA, RggTR,1.0,1.0,1
 RggTR, prsA,1.0,1.0,1
 prsA, SspB,1.0,1.0,1
 SspB, prsA,1.0,1.0,1
 prsA, dltA,1.0,1.0,1
 dltA, prsA,1.0,1.0,1
 prsA, RelA,1.0,1.0,1
 RelA, prsA,1.0,1.0,1
 prsA, CovR,1.0,1.0,1
 CovR, prsA,1.0,1.0,1
 prsA, lhr,1.0,1.0,1
 lhr, prsA,1.0,1.0,1
 prsA, abpb,1.0,1.0,1
 abpb, prsA,1.0,1.0,1
 prsA, HtpsA,1.0,1.0,1
